id,code,level,province,city,area,parent_id
4,110101,4,北京市,北京市,东城区,3
5,110102,4,北京市,北京市,西城区,3
6,110105,4,北京市,北京市,朝阳区,3
7,110106,4,北京市,北京市,丰台区,3
8,110107,4,北京市,北京市,石景山区,3
9,110108,4,北京市,北京市,海淀区,3
10,110109,4,北京市,北京市,门头沟区,3
11,110111,4,北京市,北京市,房山区,3
12,110112,4,北京市,北京市,通州区,3
13,110113,4,北京市,北京市,顺义区,3
14,110114,4,北京市,北京市,昌平区,3
15,110115,4,北京市,北京市,大兴区,3
16,110116,4,北京市,北京市,怀柔区,3
17,110117,4,北京市,北京市,平谷区,3
18,110118,4,北京市,北京市,密云区,3
19,110119,4,北京市,北京市,延庆区,3
22,120101,4,天津市,天津市,和平区,21
23,120102,4,天津市,天津市,河东区,21
24,120103,4,天津市,天津市,河西区,21
25,120104,4,天津市,天津市,南开区,21
26,120105,4,天津市,天津市,河北区,21
27,120106,4,天津市,天津市,红桥区,21
28,120110,4,天津市,天津市,东丽区,21
29,120111,4,天津市,天津市,西青区,21
30,120112,4,天津市,天津市,津南区,21
31,120113,4,天津市,天津市,北辰区,21
32,120114,4,天津市,天津市,武清区,21
33,120115,4,天津市,天津市,宝坻区,21
34,120116,4,天津市,天津市,滨海新区,21
35,120117,4,天津市,天津市,宁河区,21
36,120118,4,天津市,天津市,静海区,21
37,120119,4,天津市,天津市,蓟州区,21
40,130101,4,河北省,石家庄市,市辖区,39
41,130102,4,河北省,石家庄市,长安区,39
42,130104,4,河北省,石家庄市,桥西区,39
43,130105,4,河北省,石家庄市,新华区,39
44,130107,4,河北省,石家庄市,井陉矿区,39
45,130108,4,河北省,石家庄市,裕华区,39
46,130109,4,河北省,石家庄市,藁城区,39
47,130110,4,河北省,石家庄市,鹿泉区,39
48,130111,4,河北省,石家庄市,栾城区,39
49,130121,4,河北省,石家庄市,井陉县,39
50,130123,4,河北省,石家庄市,正定县,39
51,130125,4,河北省,石家庄市,行唐县,39
52,130126,4,河北省,石家庄市,灵寿县,39
53,130127,4,河北省,石家庄市,高邑县,39
54,130128,4,河北省,石家庄市,深泽县,39
55,130129,4,河北省,石家庄市,赞皇县,39
56,130130,4,河北省,石家庄市,无极县,39
57,130131,4,河北省,石家庄市,平山县,39
58,130132,4,河北省,石家庄市,元氏县,39
59,130133,4,河北省,石家庄市,赵县,39
60,130181,4,河北省,石家庄市,辛集市,39
61,130183,4,河北省,石家庄市,晋州市,39
62,130184,4,河北省,石家庄市,新乐市,39
64,130201,4,河北省,唐山市,市辖区,63
65,130202,4,河北省,唐山市,路南区,63
